,n,token,lemma,pos
29737,6,ἐκαλεῖτο,καλέω,v3siie---
29738,7,ἡ,ὁ,l-s---fn-
29739,8,πρὸς,πρός,r--------
29740,9,ἑσπέραν,ἑσπέρα,n-s---fa-
29741,10,.,.,u--------
29742,11,ὕπαρχος,ὕπαρχος,n-s---mn-
29743,12,δʼ,δέ,g--------
29744,13,ἦν,εἰμί,v3siia---
29745,14,αὐτῆς,αὐτός,p-s---fg-
29746,15,Τιρίβαζος,Τιρίβαζος,n-s---mn-
29747,16,",",",",u--------
29748,17,ὁ,ὁ,l-s---mn-
29749,18,καὶ,καί,d--------
29750,19,βασιλεῖ,βασιλεύς,n-s---md-
29751,20,φίλος,φίλος,a-s---mn-
29752,21,γενόμενος,γίγνομαι,v-sapmmn-
29753,22,",",",",u--------
29754,23,καὶ,καί,d--------
29755,24,ὁπότε,,c--------
29756,25,παρείη,πείρω,v3saop---
29757,26,",",",",u--------
29758,27,οὐδεὶς,,p-s---mn-
29759,28,ἄλλος,ἄλλος,a-s---mn-
29760,29,βασιλέα,βασιλεύς,n-s---ma-
29761,30,ἐπὶ,ἐπί,r--------
29762,31,τὸν,ὁ,l-s---ma-
29763,32,ἵππον,ἵππος,n-s---ma-
29764,33,ἀνέβαλλεν,ἀναβάλλω,v3siia---
29765,34,.,.,u--------
29766,1,οὗτος,οὗτος,a-s---mn-
29767,2,προσήλασεν,προσελαύνω,v3saia---
29768,3,ἱππέας,ἱππεύς,n-p---ma-
29769,4,ἔχων,ἔχω,v-sppamn-
29770,5,",",",",u--------
29771,6,καὶ,καί,d--------
29772,7,προπέμψας,προπέμπω,v-sapamn-
29773,8,ἑρμηνέα,ἑρμηνεύς,n-s---ma-
29774,9,εἶπεν,λέγω,v3saia---
29775,10,ὅτι,ὅτι2,c--------
29776,11,βούλοιτο,βούλομαι,v3spoe---
29777,12,διαλεχθῆναι,διαλέγομαι,v--anp---
29778,13,τοῖς,ὁ,l-p---md-
29779,14,ἄρχουσι,ἄρχων,n-p---md-
29780,15,.,.,u--------
29781,16,τοῖς,ὅς,p-p---md-
29782,17,δὲ,δέ,g--------
29783,18,στρατηγοῖς,στρατηγός,n-p---md-
29784,19,ἔδοξεν,δοκέω,v3saia---
29785,20,ἀκοῦσαι,ἀκούω,v--ana---
29786,21,·,·,u--------
29787,22,καὶ,καί,d--------
29788,23,προσελθόντες,προσέρχομαι,v-papamn-
29789,24,εἰς,εἰς,r--------
29790,25,ἐπήκοον,,n-s---fa-
29791,26,ἠρώτων,ἐρωτάω,v3piia---
29792,27,τί,τι,d--------
29793,28,θέλει,ἐθέλω,v3spia---
29794,29,.,.,u--------
29795,1,ὁ,ὁ,l-s---mn-
29796,2,δὲ,δέ,g--------
29797,3,εἶπεν,λέγω,v3saia---
29798,4,ὅτι,ὅτι2,c--------
29799,5,σπείσασθαι,σπένδω,v--anm---
29800,6,βούλοιτο,βούλομαι,v3spoe---
29801,7,ἐφʼ,ἐπί,r--------
29802,8,ᾧ,ὅς2,p-s---md-
29803,9,μήτε,,d--------
29804,10,αὐτὸς,αὐτός,a-s---mn-
29805,11,τοὺς,ὁ,l-p---ma-
29806,12,Ἕλληνας,Ἕλλην,n-p---ma-
29807,13,ἀδικεῖν,ἀδικέω,v--pna---
29808,14,μήτε,,d--------
29809,15,ἐκείνους,ἐκεῖνος,p-p---ma-
29810,16,καίειν,καίω,v--pna---
29811,17,τὰς,ὁ,l-p---fa-
29812,18,οἰκίας,οἰκία,n-p---fa-
29813,19,λαμβάνειν,λαμβάνω,v--pna---
29814,20,τε,τε,g--------
29815,21,τἀπιτήδεια,ἐπιτήδειος,a-p---na-
29816,22,ὅσων,ὅσος,a-p---ng-
29817,23,δέοιντο,δέω2,v3ppoe---
29818,24,.,.,u--------
29819,25,ἔδοξε,δοκέω,v3saia---
29820,26,ταῦτα,οὗτος,a-p---na-
29821,27,τοῖς,ὁ,l-p---md-
29822,28,στρατηγοῖς,στρατηγός,n-p---md-
29823,29,καὶ,καί,d--------
29824,30,ἐσπείσαντο,σπένδω,v3paim---
29825,31,ἐπὶ,ἐπί,r--------
29826,32,τούτοις,οὗτος,p-p---md-
29827,33,.,.,u--------
29828,1,ἐντεῦθεν,ἐντεῦθεν,d--------
29829,2,δʼ,δέ,g--------
29830,3,ἐπορεύθησαν,πορεύω,v3paip---
29831,4,σταθμοὺς,σταθμός,n-p---ma-
29832,5,τρεῖς,,m--------
29833,6,διὰ,διά,r--------
29834,7,πεδίου,πεδίον,n-s---ng-
29835,8,παρασάγγας,,n-p---fa-
29836,9,πεντεκαίδεκα,,a--------
29837,10,·,·,u--------
29838,11,καὶ,καί,d--------
29839,12,Τιρίβαζος,Τιρίβαζος,n-s---mn-
29840,13,παρηκολούθει,παρακολουθέω,v3siia---
29841,14,ἔχων,ἔχω,v-sppamn-
29842,15,τὴν,ὁ,l-s---fa-
29843,16,ἑαυτοῦ,ἑαυτοῦ,p-s---mg-
29844,17,δύναμιν,δύναμις,n-s---fa-
29845,18,ἀπέχων,ἀπέχω,v-sppamn-
29846,19,ὡς,ὡς,c--------
29847,20,δέκα,,a--------
29848,21,σταδίους,στάδιον,n-p---ma-
29849,22,·,·,u--------
29850,23,καὶ,καί,d--------
29851,24,ἀφίκοντο,ἀφικνέομαι,v3paim---
29852,25,εἰς,εἰς,r--------
29853,26,βασίλεια,,m-s---ma-
29854,27,καὶ,καί,d--------
29855,28,κώμας,κώμη,n-p---fa-
29856,29,πέριξ,πέριξ,r--------
29857,30,πολλὰς,πολύς,a-p---fa-
29858,31,πολλῶν,πολύς,a-p---ng-
29859,32,τῶν,ὁ,l-p---ng-
29860,33,ἐπιτηδείων,ἐπιτήδειος,a-p---ng-
29861,34,μεστάς,,n-p---ng-
29862,35,.,.,u--------
29863,1,στρατοπεδευομένων,στρατοπεδεύω,v-pppemg-
29864,2,δʼ,δέ,g--------
29865,3,αὐτῶν,αὐτός,p-p---mg-
29866,4,γίγνεται,γίγνομαι,v3spie---
29867,5,τῆς,ὁ,l-s---fg-
29868,6,νυκτὸς,νύξ,n-s---fg-
29869,7,χιὼν,χιών,n-s---fn-
29870,8,πολλή,πολύς,a-s---fn-
29871,9,·,·,u--------
29872,10,καὶ,καί,d--------
29873,11,ἕωθεν,ἠώς,d--------
29874,12,ἔδοξε,δοκέω,v3saia---
29875,13,διασκηνῆσαι,διασκηνέω,v--ana---
29876,14,τὰς,ὁ,l-p---fa-
29877,15,τάξεις,τάξις,n-p---fa-
29878,16,καὶ,καί,d--------
29879,17,τοὺς,ὁ,l-p---ma-
29880,18,στρατηγοὺς,στρατηγός,n-p---ma-
29881,19,κατὰ,κατά,r--------
29882,20,τὰς,ὁ,l-p---fa-
29883,21,κώμας,κώμη,n-p---fa-
29884,22,·,·,u--------
29885,23,οὐ,οὐ,d--------
29886,24,γὰρ,γάρ,g--------
29887,25,ἑώρων,ὁράω,v3piia---
29888,26,πολέμιον,πολέμιος,a-s---ma-
29889,27,οὐδένα,,p-s---ma-
29890,28,καὶ,καί,d--------
29891,29,ἀσφαλὲς,ἀσφαλής,a-s---na-
29892,30,ἐδόκει,δοκέω,v3siia---
29893,31,εἶναι,εἰμί,v--pna---
29894,32,διὰ,διά,r--------
29895,33,τὸ,ὁ,l-s---na-
29896,34,πλῆθος,πλῆθος,n-s---na-
29897,35,τῆς,ὁ,l-s---fg-
29898,36,χιόνος,χιών,n-s---fg-
29899,37,.,.,u--------
29900,1,ἐνταῦθα,ἐνταῦθα,d--------
29901,2,εἶχον,ἔχω,v3piia---
29902,3,τὰ,ὁ,l-p---na-
29903,4,ἐπιτήδεια,ἐπιτήδειος,a-p---na-
29904,5,ὅσα,ὅσος,a-p---na-
29905,6,ἐστὶν,εἰμί,v3spia---
29906,7,ἀγαθά,ἀγαθός,a-p---na-
29907,8,",",",",u--------
29908,9,ἱερεῖα,ἱερεῖον,n-p---na-
29909,10,",",",",u--------
29910,11,σῖτον,σῖτος,n-s---ma-
29911,12,",",",",u--------
29912,13,οἴνους,,a-p---ma-
29913,14,παλαιοὺς,,n-p---ma-
29914,15,εὐώδεις,εὐώδης,a-p---ma-
29915,16,",",",",u--------
29916,17,ἀσταφίδας,ἀσταφίς,n-p---fa-
29917,18,",",",",u--------
29918,19,ὄσπρια,ὄσπριον,n-p---na-
29919,20,παντοδαπά,παντοδαπός,a-p---na-
29920,21,.,.,u--------
29921,22,τῶν,ὅς,p-p---mg-
29922,23,δὲ,δέ,g--------
29923,24,ἀποσκεδαννυμένων,ἀποσκεδάννυμι,v-pppemg-
29924,25,τινὲς,,p-p---mn-
29925,26,ἀπὸ,ἀπό,r--------
29926,27,τοῦ,ὁ,l-s---ng-
29927,28,στρατοπέδου,στρατόπεδον,n-s---ng-
29928,29,ἔλεγον,λέγω,v3piia---
29929,30,ὅτι,ὅτι2,c--------
29930,31,κατίδοιεν,,v3ppoa---
29931,32,νύκτωρ,νύκτωρ,d--------
29932,33,πολλὰ,πολύς,a-p---na-
29933,34,πυρὰ,πυρά,n-p---na-
29934,35,φαίνοντα,φαίνω,v-sppama-
29935,36,.,.,u--------
29936,1,ἐδόκει,δοκέω,v3siia---
29937,2,δὴ,δή,g--------
29938,3,τοῖς,ὁ,l-p---md-
29939,4,στρατηγοῖς,στρατηγός,n-p---md-
29940,5,οὐκ,οὐ,d--------
29941,6,ἀσφαλὲς,ἀσφαλής,a-s---na-
29942,7,εἶναι,εἰμί,v--pna---
29943,8,διασκηνοῦν,διασκηνόω,v--pna---
29944,9,",",",",u--------
29945,10,ἀλλὰ,ἀλλά,c--------
29946,11,συναγαγεῖν,συνάγω,v--ana---
29947,12,τὸ,ὁ,l-s---na-
29948,13,στράτευμα,στράτευμα,n-s---na-
29949,14,πάλιν,πάλιν,d--------
29950,15,.,.,u--------
29951,16,ἐντεῦθεν,ἐντεῦθεν,d--------
29952,17,συνῆλθον,συνέρχομαι,v3paia---
29953,18,·,·,u--------
29954,19,καὶ,καί,d--------
29955,20,γὰρ,γάρ,g--------
29956,21,ἐδόκει,δοκέω,v3siia---
29957,22,διαιθριάζειν,διαιθριάζω,v--pna---
29958,23,.,.,u--------
29959,1,νυκτερευόντων,νυκτερεύω,v-pppamg-
29960,2,δʼ,δέ,g--------
29961,3,αὐτῶν,αὐτός,p-p---mg-
29962,4,ἐνταῦθα,ἐνταῦθα,d--------
29963,5,ἐπιπίπτει,ἐπιπίπτω,v3spia---
29964,6,χιὼν,χιών,n-s---fn-
29965,7,ἄπλετος,ἄπλετος,a-s---fn-
29966,8,",",",",u--------
29967,9,ὥστε,ὥστε,c--------
29968,10,ἀπέκρυψε,ἀποκρύπτω,v3saia---
29969,11,καὶ,καί,d--------
29970,12,τὰ,ὁ,l-p---na-
29971,13,ὅπλα,ὅπλον,n-p---na-
29972,14,καὶ,καί,d--------
29973,15,τοὺς,ὁ,l-p---ma-
29974,16,ἀνθρώπους,ἄνθρωπος,n-p---ma-
29975,17,κατακειμένους,,v-pppema-
29976,18,·,·,u--------
29977,19,καὶ,καί,d--------
29978,20,τὰ,ὁ,l-p---na-
29979,21,ὑποζύγια,,a-p---na-
29980,22,συνεπόδισεν,συμποδίζω,v3saia---
29981,23,ἡ,ὁ,l-s---fn-
29982,24,χιών,χιών,n-s---fn-
29983,25,·,·,u--------
29984,26,καὶ,καί,d--------
29985,27,πολὺς,πολύς,a-s---mn-
29986,28,ὄκνος,ὄκνος,n-s---mn-
29987,29,ἦν,εἰμί,v3siia---
29988,30,ἀνίστασθαι,ἀνίστημι,v--pne---
29989,31,·,·,u--------
29990,32,κατακειμένων,,v-papmmg-
29991,33,γὰρ,γάρ,g--------
29992,34,ἀλεεινὸν,ἀλεεινός,a-s---nn-
29993,35,ἦν,εἰμί,v3siia---
29994,36,ἡ,ὁ,l-s---fn-
29995,37,χιὼν,χιών,n-s---fn-
29996,38,ἐπιπεπτωκυῖα,ἐπιπίπτω,v-srpafn-
29997,39,ὅτῳ,ὅστις,p-s---md-
29998,40,μὴ,μή,d--------
29999,41,παραρρυείη,παραρρέω,v3saop---
30000,42,.,.,u--------
30001,1,ἐπεὶ,ἐπεί,c--------
30002,2,δὲ,δέ,g--------
30003,3,Ξενοφῶν,Ξενοφῶν,n-s---mn-
30004,4,ἐτόλμησε,τολμάω,v3saia---
30005,5,γυμνὸς,γυμνός,a-s---mn-
30006,6,ἀναστὰς,ἀνίστημι,v-sapamn-
30007,7,σχίζειν,σχίζω,v--pna---
30008,8,ξύλα,ξύλον,n-p---na-
30009,9,",",",",u--------
30010,10,τάχʼ,,n-p---na-
30011,11,ἀναστάς,ἀνίστημι,v-sapamn-
30012,12,τις,τις,p-s---mn-
30013,13,καὶ,καί,d--------
30014,14,ἄλλος,ἄλλος,a-s---mn-
30015,15,ἐκείνου,ἐκεῖνος,p-s---mg-
30016,16,ἀφελόμενος,,v-sppemn-
30017,17,ἔσχιζεν,σχίζω,v3siia---
30018,18,.,.,u--------
30019,19,ἐκ,ἐκ,r--------
30020,20,δὲ,δέ,g--------
30021,21,τούτου,οὗτος,p-s---ng-
30022,22,καὶ,καί,d--------
30023,23,ἄλλοι,ἄλλος,a-p---mn-
30024,24,ἀναστάντες,ἀνίστημι,v-papamn-
30025,25,πῦρ,πῦρ,n-s---na-
30026,26,ἔκαιον,,a-s---na-
30027,27,καὶ,καί,d--------
30028,28,ἐχρίοντο,χρίω,v3piie---
30029,29,·,·,u--------
30030,1,πολὺ,πολύς,a-s---na-
30031,2,γὰρ,γάρ,g--------
30032,3,ἐνταῦθα,ἐνταῦθα,d--------
30033,4,ηὑρίσκετο,εὑρίσκω,v3siie---
30034,5,χρῖμα,χρῖμα,n-s---nn-
30035,6,",",",",u--------
30036,7,ᾧ,ὅς2,p-s---md-
30037,8,ἐχρῶντο,χράω2,v3piie---
30038,9,ἀντʼ,ἀντί,r--------
30039,10,ἐλαίου,,a-s---mg-
30040,11,",",",",u--------
30041,12,σύειον,,n-s---na-
30042,13,καὶ,καί,d--------
30043,14,σησάμινον,σησάμινος,a-s---na-
30044,15,καὶ,καί,d--------
30045,16,ἀμυγδάλινον,ἀμυγδάλινος,a-s---na-
30046,17,ἐκ,ἐκ,r--------
30047,18,τῶν,ὁ,l-p---ng-
30048,19,πικρῶν,πικρός,a-p---ng-
30049,20,καὶ,καί,d--------
30050,21,τερμίνθινον,τερμίνθινος,a-s---ma-
30051,22,.,.,u--------
30052,23,ἐκ,ἐκ,r--------
30053,24,δὲ,δέ,g--------
30054,25,τῶν,ὁ,l-p---ng-
30055,26,αὐτῶν,αὐτός,a-p---ng-
30056,27,τούτων,οὗτος,a-p---ng-
30057,28,καὶ,καί,c--------
30058,29,μύρον,μύρον,n-s---na-
30059,30,ηὑρίσκετο,εὑρίσκω,v3siie---
30060,31,.,.,u--------
30061,1,μετὰ,μετά,r--------
30062,2,ταῦτα,οὗτος,p-p---na-
30063,3,ἐδόκει,δοκέω,v3siia---
30064,4,πάλιν,πάλιν,d--------
30065,5,διασκηνητέον,διασκηνέω,a-s---nn-
30066,6,εἶναι,εἰμί,v--pna---
30067,7,τὰς,ὁ,l-p---fa-
30068,8,κώμας,κώμη,n-p---fa-
30069,9,εἰς,εἰς,r--------
30070,10,στέγας,στέγη,n-p---fa-
30071,11,.,.,u--------
30072,12,ἔνθα,ἔνθα,d--------
30073,13,δὴ,δή,g--------
30074,14,οἱ,ὁ,l-p---mn-
30075,15,στρατιῶται,στρατιώτης,n-p---mn-
30076,16,σὺν,σύν,r--------
30077,17,πολλῇ,πολύς,a-s---fd-
30078,18,κραυγῇ,κραυγή,n-s---fd-
30079,19,καὶ,καί,d--------
30080,20,ἡδονῇ,ἡδονή,n-s---fd-
30081,21,ᾖσαν,εἶμι,v3piia---
30082,22,ἐπὶ,ἐπί,r--------
30083,23,τὰς,ὁ,l-p---fa-
30084,24,στέγας,στέγη,n-p---fa-
30085,25,καὶ,καί,d--------
30086,26,τὰ,ὁ,l-p---na-
30087,27,ἐπιτήδεια,ἐπιτήδειος,a-p---na-
30088,28,·,·,u--------
30089,29,ὅσοι,ὅσος,a-p---mn-
30090,30,δὲ,δέ,g--------
30091,31,ὅτε,,d--------
30092,32,τὸ,ὁ,l-s---na-
30093,33,πρότερον,πρότερος,a-s---na-
30094,34,ἀπῇσαν,ἀπᾴδω,v3paia---
30095,35,τὰς,ὁ,l-p---fa-
30096,36,οἰκίας,οἰκία,n-p---fa-
30097,37,ἐνέπρησαν,ἐμπρήθω,v3paia---
30098,38,ὑπὸ,ὑπό,r--------
30099,39,ἀτασθαλίας,ἀτασθαλία,n-p---fa-
30100,40,",",",",u--------
30101,41,δίκην,δίκη,n-s---fa-
30102,42,ἐδίδοσαν,δίδωμι,v3piia---
30103,43,κακῶς,κακός,d--------
30104,44,σκηνοῦντες,σκηνόω,v-pppamn-
30105,45,.,.,u--------
30106,1,ἐντεῦθεν,ἐντεῦθεν,d--------
30107,2,ἔπεμψαν,πέμπω,v3paia---
30108,3,νυκτὸς,νύξ,n-s---fg-
30109,4,Δημοκράτην,Δημοκράτης,n-s---ma-
30110,5,Τημνίτην,Τημνίτης,n-s---ma-
30111,6,ἄνδρας,ἀνήρ,n-p---ma-
30112,7,δόντες,δίδωμι,v-papamn-
30113,8,ἐπὶ,ἐπί,r--------
30114,9,τὰ,ὁ,l-p---na-
30115,10,ὄρη,ὄρος,n-p---na-
30116,11,ἔνθα,ἔνθα,d--------
30117,12,ἔφασαν,φημί,v3paia---
30118,13,οἱ,ὁ,l-p---mn-
30119,14,ἀποσκεδαννύμενοι,,v-papmmn-
30120,15,καθορᾶν,καθοράω,v--pna---
30121,16,τὰ,ὁ,l-p---na-
30122,17,πυρά,,a-p---na-
30123,18,·,·,u--------
30124,19,οὗτος,οὗτος,p-s---mn-
30125,20,γὰρ,γάρ,g--------
30126,21,ἐδόκει,δοκέω,v3siia---
30127,22,καὶ,καί,d--------
30128,23,πρότερον,πρότερος,a-s---na-
30129,24,πολλὰ,πολύς,a-p---na-
30130,25,ἤδη,ἤδη,d--------
30131,26,ἀληθεῦσαι,ἀληθεύω,v--ana---
30132,27,τοιαῦτα,τοιοῦτος,p-p---na-
30133,28,",",",",u--------
30134,29,τὰ,ὁ,l-p---na-
30135,30,ὄντα,εἰμί,v-pppana-
30136,31,τε,τε,d--------
30137,32,ὡς,ὡς,d--------
30138,33,ὄντα,εἰμί,v-sppama-
30139,34,καὶ,καί,d--------
30140,35,τὰ,ὁ,l-p---na-
30141,36,μὴ,μή,d--------
30142,37,ὄντα,εἰμί,v-sppama-
30143,38,ὡς,ὡς,c--------
30144,39,οὐκ,οὐ,d--------
30145,40,ὄντα,εἰμί,v-sppama-
30146,41,.,.,u--------
30147,1,πορευθεὶς,πορεύω,v-sappmn-
30148,2,δὲ,δέ,g--------
30149,3,τὰ,ὁ,l-p---na-
30150,4,μὲν,μέν,g--------
30151,5,πυρὰ,πυρά,n-p---na-
30152,6,οὐκ,οὐ,d--------
30153,7,ἔφη,φημί,v3siia---
30154,8,ἰδεῖν,ὁράω,v--ana---
30155,9,",",",",u--------
30156,10,ἄνδρα,ἀνήρ,n-s---ma-
30157,11,δὲ,δέ,g--------
30158,12,συλλαβὼν,συλλαμβάνω,v-sapamn-
30159,13,ἧκεν,ἵημι,v3saia---
30160,14,ἄγων,ἄγω,v-sppamn-
30161,15,ἔχοντα,ἔχω,v-sppama-
30162,16,τόξον,τόξον,n-s---na-
30163,17,Περσικὸν,Περσικός,a-s---na-
30164,18,καὶ,καί,d--------
30165,19,φαρέτραν,φαρέτρα,n-s---fa-
30166,20,καὶ,καί,d--------
30167,21,σάγαριν,σάγαρις,n-s---fa-
30168,22,οἵανπερ,οἷος,a-s---fa-
30169,23,καὶ,καί,d--------
30170,24,αἱ,ὁ,l-p---fn-
30171,25,Ἀμαζόνες,Ἀμαζών,n-p---fn-
30172,26,ἔχουσιν,ἔχω,v3ppia---
30173,27,.,.,u--------
30174,1,ἐρωτώμενος,ἐρωτάω,v-sppemn-
30175,2,δὲ,δέ,g--------
30176,3,ποδαπὸς,,n-s---mn-
30177,4,εἴη,εἰμί,v3spoa---
30178,5,Πέρσης,Πέρσης,n-s---mn-
30179,6,μὲν,μέν,g--------
30180,7,ἔφη,φημί,v3siia---
30181,8,εἶναι,εἰμί,v--pna---
30182,9,",",",",u--------
30183,10,πορεύεσθαι,πορεύω,v--pne---
30184,11,δʼ,δέ,g--------
30185,12,ἀπὸ,ἀπό,r--------
30186,13,τοῦ,ὁ,l-s---mg-
30187,14,Τιριβάζου,Τιρίβαζος,n-s---mg-
30188,15,στρατοπέδου,στρατόπεδον,n-s---ng-
30189,16,",",",",u--------
30190,17,ὅπως,ὅπως,c--------
30191,18,ἐπιτήδεια,ἐπιτήδειος,a-p---na-
30192,19,λάβοι,λαμβάνω,v3saoa---
30193,20,.,.,u--------
30194,21,οἱ,ὁ,p-p---mn-
30195,22,δὲ,δέ,g--------
30196,23,ἠρώτων,ἐρωτάω,v1siia---
30197,24,αὐτὸν,αὐτός,p-s---ma-
30198,25,τὸ,ὁ,l-s---na-
30199,26,στράτευμα,στράτευμα,n-s---na-
30200,27,ὁπόσον,ὁπόσος,a-s---na-
30201,28,τε,τε,g--------
30202,29,εἴη,εἰμί,v3spoa---
30203,30,καὶ,καί,d--------
30204,31,ἐπὶ,ἐπί,r--------
30205,32,τίνι,,p-s---md-
30206,33,συνειλεγμένον,συλλέγω,v-srpema-
30207,34,.,.,u--------
30208,1,ὁ,ὁ,l-s---mn-
30209,2,δὲ,δέ,g--------
30210,3,εἶπεν,λέγω,v3saia---
30211,4,ὅτι,ὅτι2,c--------
30212,5,Τιρίβαζος,Τιρίβαζος,n-s---mn-
30213,6,εἴη,εἰμί,v3spoa---
30214,7,ἔχων,ἔχω,v-sppamn-
30215,8,τήν,ὁ,l-s---fa-
30216,9,τε,τε,d--------
30217,10,ἑαυτοῦ,ἑαυτοῦ,p-s---mg-
30218,11,δύναμιν,δύναμις,n-s---fa-
30219,12,καὶ,καί,d--------
30220,13,μισθοφόρους,μισθοφόρος,a-p---ma-
30221,14,Χάλυβας,Χάλυψ,n-p---ma-
30222,15,καὶ,καί,c--------
30223,16,Ταόχους,Τάοχοι,n-p---ma-
30224,17,·,·,u--------
30225,18,παρεσκευάσθαι,παρασκευάζω,v--rne---
30226,19,δὲ,δέ,g--------
30227,20,αὐτὸν,αὐτός,p-s---ma-
30228,21,ἔφη,φημί,v3siia---
30229,22,ὡς,ὡς,d--------
30230,23,ἐπὶ,ἐπί,r--------
30231,24,τῇ,ὁ,l-s---fd-
30232,25,ὑπερβολῇ,ὑπερβολή,n-s---fd-
30233,26,τοῦ,ὁ,l-s---mg-
30234,27,ὄρους,ὀρός,n-p---ma-
30235,28,ἐν,ἐν,r--------
30236,29,τοῖς,ὁ,l-p---nd-
30237,30,στενοῖς,στενός,a-p---nd-
30238,31,ᾗπερ,,a-s---fd-
30239,32,μοναχῇ,μοναχή,n-s---fd-
30240,33,εἴη,εἰμί,v3spoa---
30241,34,πορεία,πορεία,n-s---fn-
30242,35,",",",",u--------
30243,36,ἐνταῦθα,ἐνταῦθα,d--------
30244,37,ἐπιθησόμενον,,v-sapema-
30245,38,τοῖς,ὁ,l-p---md-
30246,39,Ἕλλησιν,Ἕλλην,n-p---md-
30247,40,.,.,u--------
30248,1,ἀκούσασι,ἀκούω,v-papamd-
30249,2,τοῖς,ὁ,l-p---md-
30250,3,στρατηγοῖς,στρατηγός,n-p---md-
30251,4,ταῦτα,οὗτος,p-p---na-
30252,5,ἔδοξε,δοκέω,v3saia---
30253,6,τὸ,ὁ,l-s---na-
30254,7,στράτευμα,στράτευμα,n-s---na-
30255,8,συναγαγεῖν,συνάγω,v--ana---
30256,9,·,·,u--------
30257,10,καὶ,καί,d--------
30258,11,εὐθὺς,εὐθύς,d--------
30259,12,φύλακας,φύλαξ,n-p---ma-
30260,13,καταλιπόντες,καταλείπω,v-papamn-
30261,14,καὶ,καί,d--------
30262,15,στρατηγὸν,στρατηγός,n-s---ma-
30263,16,ἐπὶ,ἐπί,r--------
30264,17,τοῖς,ὁ,l-p---md-
30265,18,μένουσι,μένω,v-pppamd-
30266,19,Σοφαίνετον,Σοφαίνετος,n-s---ma-
30267,20,Στυμφάλιον,,n-s---ma-
30268,21,ἐπορεύοντο,πορεύω,v3piie---
30269,22,ἔχοντες,ἔχω,v-pppamn-
30270,23,ἡγεμόνα,ἡγεμών,n-s---ma-
30271,24,τὸν,ὁ,l-s---ma-
30272,25,ἁλόντα,ἁλίσκομαι,v-sapama-
30273,26,ἄνθρωπον,ἄνθρωπος,n-s---ma-
30274,27,.,.,u--------
30275,1,ἐπειδὴ,ἐπεί,c--------
30276,2,δὲ,δέ,g--------
30277,3,ὑπερέβαλλον,ὑπερβάλλω,v3piia---
30278,4,τὰ,ὁ,l-p---na-
30279,5,ὄρη,ὄρος,n-p---na-
30280,6,",",",",u--------
30281,7,οἱ,ὁ,l-p---mn-
30282,8,πελτασταὶ,πελταστής,n-p---mn-
30283,9,προϊόντες,πρόειμι,v-pppamn-
30284,10,καὶ,καί,d--------
30285,11,κατιδόντες,καθοράω,v-papamn-
30286,12,τὸ,ὁ,l-s---na-
30287,13,στρατόπεδον,στρατόπεδον,n-s---na-
30288,14,οὐκ,οὐ,d--------
30289,15,ἔμειναν,μένω,v3paia---
30290,16,τοὺς,ὁ,l-p---ma-
30291,17,ὁπλίτας,ὁπλίτης,n-p---ma-
30292,18,",",",",u--------
30293,19,ἀλλʼ,ἀλλά,c--------
30294,20,ἀνακραγόντες,ἀνακράζω,v-papamn-
30295,21,ἔθεον,θέω,v3piia---
30296,22,ἐπὶ,ἐπί,r--------
30297,23,τὸ,ὁ,l-s---na-
30298,24,στρατόπεδον,στρατόπεδον,n-s---na-
30299,25,.,.,u--------
30300,1,οἱ,ὁ,p-p---mn-
30301,2,δὲ,δέ,g--------
30302,3,βάρβαροι,,n-p---mn-
30303,4,ἀκούσαντες,ἀκούω,v-papamn-
30304,5,τὸν,ὁ,l-s---ma-
30305,6,θόρυβον,θόρυβος,n-s---ma-
30306,7,οὐχ,οὐ,d--------
30307,8,ὑπέμειναν,ὑπομένω,v3paia---
30308,9,",",",",u--------
30309,10,ἀλλʼ,ἀλλά,c--------
30310,11,ἔφευγον,φεύγω,v3piia---
30311,12,·,·,u--------
30312,13,ὅμως,ὅμως,d--------
30313,14,δὲ,δέ,g--------
30314,15,καὶ,καί,d--------
30315,16,ἀπέθανόν,ἀποθνῄσκω,v3paia---
30316,17,τινες,τις,p-p---mn-
30317,18,τῶν,ὁ,l-p---mg-
30318,19,βαρβάρων,,n-p---mg-
30319,20,καὶ,καί,d--------
30320,21,ἵπποι,ἵππος,n-p---mn-
30321,22,ἥλωσαν,ἁλίσκομαι,v3paia---
30322,23,εἰς,εἰς,r--------
30323,24,εἴκοσι,,a--------
30324,25,καὶ,καί,d--------
30325,26,ἡ,ὁ,l-s---fn-
30326,27,σκηνὴ,,a-s---fn-
30327,28,ἡ,ὁ,l-s---fn-
30328,29,Τιριβάζου,Τιρίβαζος,n-s---mg-
30329,30,ἑάλω,ἁλίσκομαι,v3saia---
30330,31,καὶ,καί,d--------
30331,32,ἐν,ἐν,r--------
30332,33,αὐτῇ,αὐτός,a-s---fd-
30333,34,κλῖναι,κλίνη,n-p---fn-
30334,35,ἀργυρόποδες,ἀργυρόπους,a-p---fn-
30335,36,καὶ,καί,d--------
30336,37,ἐκπώματα,ἔκπωμα,n-p---nn-
30337,38,καὶ,καί,d--------
30338,39,οἱ,ὁ,l-p---mn-
30339,40,ἀρτοκόποι,ἀρτοκόπος,n-p---mn-
30340,41,καὶ,καί,d--------
30341,42,οἱ,ὁ,l-p---mn-
